Modelo;Motorización;Categoría;Nº de Plazas;MTMA;Potencia eléctrica (kW);Consumo eléctrico (kWh/100km);Capacidad de la batería (kWh);Autonomía eléctrica (km)
SKODA ENYAQ IV MY23 Sportline 80 150 kW (204 CV) 82 kWh (77 kwh neta) (MTMA 2600);Eléctricos puros;M1;5;2600;150;16.62;77;544
SKODA ENYAQ IV MY23 Sportline 80 150 kW (204 CV) 82 kWh (77 kwh neta) (MTMA 2657);Eléctricos puros;M1;5;2657;150;16.62;77;544
SKODA ENYAQ MY22 60 Bateria 58,3 kWh Electromotor 132 KW (180 CV) Automatico 1 vel.;Eléctricos puros;M1;5;3500;132;15.7;60;411
SKODA ENYAQ MY22 80 Bateria 77,1 kWh Electromotor 150 KW (204 CV) Automatico 1 vel.;Eléctricos puros;M1;5;3540;150;16.8;60;520
SKODA ENYAQ MY22 80x Bateria 77,1 kWh Electromotor 195 KW (265 CV) Automatico 1 vel.;Eléctricos puros;M1;5;3950;195;17.4;80;470
SKODA ENYAQ MY22 Sportline 80 Bateria 77,1 kWh Electromotor 150 KW (204 CV) Automatico 1 vel.;Eléctricos puros;M1;5;3540;150;17.1;80;520
SKODA ENYAQ MY22 Sportline 80x Bateria 77,1 kWh Electromotor 195 KW (265 CV) Automatico 1 vel.;Eléctricos puros;M1;5;3950;195;17.7;80;470
SKODA ENYAQ MY24 60 132 kW (180 CV) 60 kWh (58 kwh neta) (MTMA 2504);Eléctricos puros;M1;5;2504;132;16.36;58;400
SKODA ENYAQ MY24 85 - 4x4 210 kW (286 CV) 82 kWh (77 kwh neta) (MTMA 2750);Eléctricos puros;M1;5;2750;210;16.22;77;537
SKODA ENYAQ MY24 85 210 kW (286 CV) 82 kWh (77 kwh neta) (MTMA 2650);Eléctricos puros;M1;5;2650;210;15.16;77;565
SKODA ENYAQ MY24 RS 250 kW (341 CV) 82 kWh (77 kwh neta) (MTMA 2750);Eléctricos puros;M1;5;2750;250;16.13;77;541
SKODA ENYAQ MY24 Sportline 85 210 kW (286 CV) 82 kWh (77 kwh neta) (MTMA 2650);Eléctricos puros;M1;5;2650;210;15.45;77;553
SKODA NUEVO SUPERB COMBI MY21 L&K 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3859;85;13;13;56
SKODA NUEVO SUPERB COMBI MY21 Sportline 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3859;85;12.5;13;60
SKODA NUEVO SUPERB COMBI MY21 Style 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3859;85;12.5;13;60
SKODA NUEVO SUPERB MY21 L&K 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3834;85;13;13;61
SKODA NUEVO SUPERB MY21 Sportline 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3834;85;12.5;13;59
SKODA NUEVO SUPERB MY21 Style 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3834;85;12.5;13;62
SKODA OCTAVIA A8 MY21 1,4 TSI iV P-HEV150 kW (200 CV)DSG 6 vel.;Híbridos enchufables;M1;5;3620;150;111;150;69
SKODA OCTAVIA COMBI MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058);Híbridos enchufables;M1;5;2058;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119);Híbridos enchufables;M1;5;2119;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2141);Híbridos enchufables;M1;5;2141;85;15.1;13;68
SKODA OCTAVIA COMBI MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2152);Híbridos enchufables;M1;5;2152;85;15.1;13;68
SKODA OCTAVIA COMBI MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2163);Híbridos enchufables;M1;5;2163;85;15.1;13;68
SKODA OCTAVIA COMBI MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058);Híbridos enchufables;M1;5;2058;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119);Híbridos enchufables;M1;5;2119;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058);Híbridos enchufables;M1;5;2058;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA COMBI MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119);Híbridos enchufables;M1;5;2119;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058);Híbridos enchufables;M1;5;2058;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119);Híbridos enchufables;M1;5;2119;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2141);Híbridos enchufables;M1;5;2141;85;15.1;13;68
SKODA OCTAVIA COMBI MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2152);Híbridos enchufables;M1;5;2152;85;15.1;13;68
SKODA OCTAVIA COMBI MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2163);Híbridos enchufables;M1;5;2163;85;15.1;13;68
SKODA OCTAVIA COMBI MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058);Híbridos enchufables;M1;5;2058;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119);Híbridos enchufables;M1;5;2119;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058);Híbridos enchufables;M1;5;2058;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA COMBI MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119);Híbridos enchufables;M1;5;2119;85;14.7;13;64
SKODA OCTAVIA COMBI MY23 RS 1.4 TSI P-HEV 180kW (245 CV) DSG (MTMA 2110);Híbridos enchufables;M1;5;2110;85;15.42;13;61
SKODA OCTAVIA COMBI MY23 RS 1.4 TSI P-HEV 180kW (245 CV) DSG (MTMA 2140);Híbridos enchufables;M1;5;2140;85;15.42;13;61
SKODA OCTAVIA COMBI MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2044);Híbridos enchufables;M1;5;2044;85;14.95;13;64
SKODA OCTAVIA COMBI MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2100);Híbridos enchufables;M1;5;2100;85;14.95;13;64
SKODA OCTAVIA COMBI MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2130);Híbridos enchufables;M1;5;2130;85;14.95;13;64
SKODA OCTAVIA LIMO MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040);Híbridos enchufables;M1;5;2040;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120);Híbridos enchufables;M1;5;2120;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2135);Híbridos enchufables;M1;5;2135;85;15.1;13;68
SKODA OCTAVIA LIMO MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2166);Híbridos enchufables;M1;5;2166;85;15.1;13;68
SKODA OCTAVIA LIMO MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040);Híbridos enchufables;M1;5;2040;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120);Híbridos enchufables;M1;5;2120;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040);Híbridos enchufables;M1;5;2040;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA LIMO MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120);Híbridos enchufables;M1;5;2120;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040);Híbridos enchufables;M1;5;2040;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2049);Híbridos enchufables;M1;5;2049;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120);Híbridos enchufables;M1;5;2120;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2135);Híbridos enchufables;M1;5;2135;85;15.1;13;68
SKODA OCTAVIA LIMO MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2166);Híbridos enchufables;M1;5;2166;85;15.1;13;68
SKODA OCTAVIA LIMO MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel.  (MTMA 2049);Híbridos enchufables;M1;5;2049;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040);Híbridos enchufables;M1;5;2040;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120);Híbridos enchufables;M1;5;2120;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel.  (MTMA 2052);Híbridos enchufables;M1;5;2052;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040);Híbridos enchufables;M1;5;2040;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090);Híbridos enchufables;M1;5;2090;85;14.7;13;64
SKODA OCTAVIA LIMO MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120);Híbridos enchufables;M1;5;2120;85;14.7;13;64
SKODA OCTAVIA LIMO MY23 RS 1.4 TSI P-HEV 180kW (245 CV) DSG (MTMA 2110);Híbridos enchufables;M1;5;2110;85;15.11;13;62
SKODA OCTAVIA LIMO MY23 RS 1.4 TSI P-HEV 180kW (245 CV) DSG (MTMA 2140);Híbridos enchufables;M1;5;2140;85;15.11;13;62
SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2049);Híbridos enchufables;M1;5;2049;85;14.77;13;66
SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2052);Híbridos enchufables;M1;5;2052;85;14.77;13;66
SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2112);Híbridos enchufables;M1;5;2112;85;14.77;13;66
SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2138);Híbridos enchufables;M1;5;2138;85;14.77;13;66
SKODA SUPERB COMBI IV MY20 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3891;160;154;160;63
SKODA SUPERB COMBI IV MY21 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3851;160;154;160;55
SKODA SUPERB COMBI MY22 L&K 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG;Híbridos enchufables;M1;5;3859;85;15.4;13;60
SKODA SUPERB COMBI MY22 SPORTLINE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG;Híbridos enchufables;M1;5;3859;85;16;13;56
SKODA SUPERB COMBI MY22 STYLE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG;Híbridos enchufables;M1;5;3859;85;15.3;13;60
SKODA SUPERB COMBI MY23 L&K 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2250);Híbridos enchufables;M1;5;2250;85;16.18;13;59
SKODA SUPERB COMBI MY23 SPORTLINE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2250);Híbridos enchufables;M1;5;2250;85;16.34;13;59
SKODA SUPERB COMBI MY23 STYLE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2250);Híbridos enchufables;M1;5;2250;85;16.18;13;60
SKODA SUPERB IV MY20 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3851;160;145;160;67
SKODA SUPERB IV MY21 1,4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG 6 vel.;Híbridos enchufables;M1;5;3851;160;145;160;57
SKODA SUPERB LIMO MY22 L&K 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG;Híbridos enchufables;M1;5;3834;85;15.1;13;61
SKODA SUPERB LIMO MY22 SPORTLINE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG;Híbridos enchufables;M1;5;3834;85;15.5;13;59
SKODA SUPERB LIMO MY22 STYLE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG;Híbridos enchufables;M1;5;3834;85;15;13;62
SKODA SUPERB LIMO MY23 L&K 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2220);Híbridos enchufables;M1;5;2220;85;15.68;13;60
SKODA SUPERB LIMO MY23 SPORTLINE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2220);Híbridos enchufables;M1;5;2220;85;15.88;13;60
SKODA SUPERB LIMO MY23 STYLE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2220);Híbridos enchufables;M1;5;2220;85;15.68;13;63
SKODA SUPERB LIMO MY23 STYLE 1.4 TSI iV P-HEV Máx. 160 kW (218 CV) DSG (MTMA 2260);Híbridos enchufables;M1;5;2260;85;15.68;13;63
smart #1 (HX11) BRABUS;Eléctricos puros;M1;5;2325;315;18.2;66;400
smart #1 (HX11) Launch Edition;Eléctricos puros;M1;5;2225;200;16.8;66;440
smart #1 (HX11) Premium;Eléctricos puros;M1;5;2225;200;16.8;66;440
smart #1 (HX11) Pro;Eléctricos puros;M1;5;2205;200;18.1;49;310
smart #1 (HX11) Pro+;Eléctricos puros;M1;5;2213;200;17.4;66;420
smart #1 (HX11) Pulse;Eléctricos puros;M1;5;2325;315;18.2;66;400
smart #3 (HC11) BRABUS;Eléctricos puros;M1;5;2360;315;17.6;66;415
smart #3 (HC11) Edición 25 aniversario;Eléctricos puros;M1;5;2260;200;16.3;66;455
smart #3 (HC11) Premium;Eléctricos puros;M1;5;2260;200;16.3;66;455
smart #3 (HC11) Pro;Eléctricos puros;M1;5;2199;200;17.2;49;325
smart #3 (HC11) Pro+;Eléctricos puros;M1;5;2230;200;16.8;66;435
smart forfour EQ forfour (W453) ;Eléctricos puros;M1;4;1570;60;19.4;17.6;120
smart fortwo EQ fortwo (C453) ;Eléctricos puros;M1;2;1310;60;18.6;17.6;125
smart fortwo EQ fortwo cabrio (A453) ;Eléctricos puros;M1;2;1340;60;18.9;17.6;123
soco JS2A 0;Eléctricos puros;L3e;2;253;4;0;72;80
SsangYong KORANDO E-MOTION URBAN;Eléctricos puros;M1;5;2250;140;16.8;61;339
Subaru SOLTERRA TOURING;Eléctricos puros;M1;5;2550;160;18;71.4;414
Subaru SOLTERRA URBAN;Eléctricos puros;M1;5;2550;160;16.1;71.4;465
SUKOY EV-02 ELECTRIC;Eléctricos puros;L6e;2;746;4;11;15;120
SUKOY EV-03 ELECTRIC;Eléctricos puros;L7e;2;1118;10;11;19.2;180
SUNRA ANGER S;Eléctricos puros;L3e;2;258;4;4.3;2.88;90
SUNRA MIKU SUPER S;Eléctricos puros;L3e;2;275;3;3.3;2.88;105
SUNRA ROBO S;Eléctricos puros;L3e;2;251;3;4;2.88;98
Super Soco CPX ;Eléctricos puros;L3e;2;300;4;3.8;2.58;140
Super Soco CPX PRO 2;Eléctricos puros;L3e;2;107;7;5.3;2.7;100
Super Soco F01 2;Eléctricos puros;L3e;2;92;3.5;3.5;2.7;70
Super Soco TC MAX ;Eléctricos puros;L3e;2;254;3.9;3.3;3.24;92
Super Soco TC PRO ;Eléctricos puros;L3e;2;254;3.9;3.3;3.09;110
Suzuki ACROSS 2.5L GLX 4WD PHEV;Híbridos enchufables;M1;5;2510;174;16.6;18.11;75
TESLA Model 3 Autonomía estándar plus;Eléctricos puros;M1;5;2139;239;14.2;50;448
TESLA Model 3 Gran autonomía - 580km;Eléctricos puros;M1;5;2232;366;14.8;74;580
TESLA Model 3 Gran autonomía - 602km;Eléctricos puros;M1;5;2232;366;14.7;74;602
TESLA Model 3 Gran autonomía - 614km;Eléctricos puros;M1;5;2232;366;14.7;74;614
TESLA Model 3 Highland Gran Autonomía;Eléctricos puros;M1;5;2263;366;14;77;629
TESLA Model 3 Highland Tracción Trasera;Eléctricos puros;M1;5;2200;208;13.2;60;513
TESLA Model 3 Performance;Eléctricos puros;M1;5;2232;377;16.5;74;567
TESLA Model 3 Performance - 559km;Eléctricos puros;M1;5;2232;377;16.5;74;559
TESLA Model 3 Tracción trasera;Eléctricos puros;M1;5;2139;239;14.4;50;491
TESLA Model 3 Tracción Trasera - Gran Autonomía;Eléctricos puros;M1;5;2139;208;13.8;74;638
TESLA Model S Gran autonomía;Eléctricos puros;M1;5;2574;421;18.5;100;652
TESLA Model S Performance;Eléctricos puros;M1;5;2626;599;19;100;639
TESLA Model X Gran autonomía;Eléctricos puros;M1;5;3040;421;21.5;100;561
TESLA Model X Gran autonomía;Eléctricos puros;M1;6;3040;421;21.5;100;561
TESLA Model X Gran autonomía;Eléctricos puros;M1;7;3040;421;21.5;100;561
TESLA Model X Performance;Eléctricos puros;M1;5;3087;599;22.1;100;548
TESLA Model X Performance;Eléctricos puros;M1;6;3087;599;22.1;100;548
TESLA Model X Performance;Eléctricos puros;M1;7;3087;599;22.1;100;548
TESLA Model Y Gran autonomía;Eléctricos puros;M1;5;2371;378;16.9;74;542
TESLA Model Y Performance;Eléctricos puros;M1;5;2371;393;17.3;74;514
TESLA Model Y Tracción trasera;Eléctricos puros;M1;5;2549;220;15.7;50;455
Teycars TEYCARS TT202 V.E. TEYCARS TT 202. 72V/5KW RWD. 2 PLAZAS + CAJA;Eléctricos puros;L7e;2;999;5.7;1.78;10.8;74
Teycars TEYCARS TT204 V.E. TEYCARS TT204 72V/5kW 4WD. MATRICULABLE;Eléctricos puros;L7e;2;999;8.7;1.81;10.8;72
TilGreen TilFire TilFire;Eléctricos puros;L3e;2;278;11;6.3;7.2;180
TilGreen Tilmax Tilmax;Eléctricos puros;L3e;2;297;6;7.1;4.32;80
TilGreen Tilmax Tilmax R;Eléctricos puros;L3e;2;297;6;7.1;5.76;130
TilGreen Tilmax Tilmax RS;Eléctricos puros;L3e;2;297;6;7.1;7.2;170
TilGreen TilScoot TilScoot RS;Eléctricos puros;L3e;2;251;5;3.6;3.31;100
TINBOT ES1-S 0;Eléctricos puros;L3e;2;268;10;4.53;63;130
TINBOT ES1-S 1;Eléctricos puros;L3e;2;268;10;4.53;63;130
TINBOT ES1-X 0;Eléctricos puros;L3e;2;281;10;4.53;63;130
TINBOT ES1-X 1;Eléctricos puros;L3e;2;281;10;4.53;63;130
TINBOT RS1 0;Eléctricos puros;L3e;2;334;12;8.6;120;119
Torrot MUVI 01;Eléctricos puros;L3e;2;275;3;5.2;3.34;85
Toyota BZ4X 4x2 Eco/Advance/Style/Style plus (MY22);Eléctricos puros;M1;5;2465;150;14;71.39;516
Toyota BZ4X 4x4 Eco/Advance/Style/Style plus/Luxury (MY22);Eléctricos puros;M1;5;2550;160;16;71.39;470
Toyota C-HR 2WD 2.0 PHEV Advance/Advance Plus/Premiere Edition/GR Sport/GR Sport Prem. Ed. (NG24);Híbridos enchufables;M1;5;2130;120;15;14;69
Toyota Canarias PROACE CITY EV L1 50 kWh BASALTO;Eléctricos puros;N1;2;3140;100;20.2;50;260
Toyota Canarias PROACE CITY EV L1 50 kWh ÓPALO;Eléctricos puros;N1;3;3160;100;20.5;50;260
Toyota Canarias PROACE CITY VERSO EV L1 50 kWh BASALTO;Eléctricos puros;M1;5;3040;100;19.5;50;258
Toyota Canarias PROACE CITY VERSO EV L1 50 kWh OLIVINA;Eléctricos puros;M1;5;3040;100;19.7;50;258
Toyota Canarias PROACE CITY VERSO EV L1 50 kWh ÓPALO;Eléctricos puros;M1;5;3040;100;19.4;50;258
Toyota Canarias PROACE CITY VERSO EV L2 50 kWh BASALTO;Eléctricos puros;M1;5;3070;100;20;50;258
Toyota Canarias PROACE CITY VERSO EV L2 50 kWh OLIVINA 7Plazas;Eléctricos puros;M1;7;3190;100;21.1;50;258
Toyota Canarias PROACE CITY VERSO EV L2 50kWh  ÓPALO;Eléctricos puros;M1;5;3070;100;19.9;50;258
Toyota Canarias PROACE CITY VERSO EV L2 50kWh ÓPALO 7 Plazas;Eléctricos puros;M1;7;3190;100;20.9;50;258
Toyota Canarias PROACE EV VAN L1 50kWh BASALTO;Eléctricos puros;N1;3;3875;100;25.1;50;230
Toyota Canarias PROACE EV VAN L1 75kWh ÓPALO;Eléctricos puros;N1;3;4025;100;26.6;75;330
Toyota Canarias PROACE EV VAN L2 75kWh ÓPALO Bajo pedido;Eléctricos puros;N1;3;4055;100;26.8;75;330
Toyota Canarias PROACE VERSO EV L1 EV 50kWh Ópalo;Eléctricos puros;M1;9;4015;100;25.7;50;230
Toyota Canarias PROACE VERSO EV L1 EV 75kWh Olivina;Eléctricos puros;M1;8;4100;100;26.9;75;330
Toyota Canarias PROACE VERSO EV L2 EV 75kWh Olivina;Eléctricos puros;M1;8;4100;100;27.1;75;330
Toyota Canarias RAV4 PHEV 2.5 4X4 Agua;Híbridos enchufables;M1;5;4010;225;16.6;18.1;75
Toyota Canarias RAV4 PHEV 2.5 4x4 Alisio;Híbridos enchufables;M1;5;4010;225;16.6;18.1;75
Toyota Canarias RAV4 PHEV 2.5 4X4 GR SPORT;Híbridos enchufables;M1;5;3910;225;16.6;18.1;75
Toyota Canarias RAV4 PHEV 2.5 4X4 GR SPORT BITONO;Híbridos enchufables;M1;5;3910;225;16.6;18.1;75
Toyota Canarias RAV4 PHEV 2.5 4x4 Style;Híbridos enchufables;M1;5;4010;225;16.6;18.1;75
Toyota MIRAI Llanta 17p (MY19);Pila de combustible;M1;4;2180;113;0;0;0
Toyota MIRAI Vision/Luxury (MY21);Pila de combustible;M1;5;2415;134;0;0;0
Toyota PRIUS PHEV Advance / Luxury (MY21);Híbridos enchufables;M1;5;1930;53;105.8;8.8;45
Toyota PRIUS PHEV Solar (MY21);Híbridos enchufables;M1;5;1930;53;105.8;8.8;45
Toyota PROACE CITY VAN EV Furgón largo GX 50 kWh (MY22);Eléctricos puros;N1;2;2385;100;19;50;293
Toyota PROACE CITY VAN EV Furgón largo GX/GX PLUS 50 kWh (RC22);Eléctricos puros;N1;2;2385;100;19;50;293
Toyota PROACE CITY VAN EV Furgón largo VX 50 kWh (MY22);Eléctricos puros;N1;3;2400;100;19;50;293
Toyota PROACE CITY VAN EV Furgón largo VX 50 kWh (RC22);Eléctricos puros;N1;3;2400;100;19;50;293
Toyota PROACE CITY VAN EV Furgón medio GX 50 kWh (MY22);Eléctricos puros;N1;2;2390;100;19;50;293
Toyota PROACE CITY VAN EV Furgón medio GX/GX PLUS 50 kWh(RC22);Eléctricos puros;N1;2;2390;100;19;50;293
Toyota PROACE CITY VAN EV Furgón medio VX 50 kWh (MY22);Eléctricos puros;N1;3;2410;100;19;50;293
Toyota PROACE CITY VAN EV Furgón medio VX 50 kWh (RC22);Eléctricos puros;N1;3;2410;100;19;50;293
Toyota PROACE CITY VERSO EV Combi larga GX/VX 50 kWh (MY22);Eléctricos puros;M1;5;2320;100;19;50;293
Toyota PROACE CITY VERSO EV Combi larga Gx/Vx 50 kWh (RC22);Eléctricos puros;M1;5;2320;100;19;50;293
Toyota PROACE CITY VERSO EV Combi larga VX 50 kWh (MY22);Eléctricos puros;M1;7;2440;100;19;50;293
Toyota PROACE CITY VERSO EV Combi larga Vx 50 kWh (RC22);Eléctricos puros;M1;7;2440;100;19;50;293
Toyota PROACE CITY VERSO EV Combi media GX/VX 50 kWh (MY22);Eléctricos puros;M1;5;2290;100;19;50;293
